animal,genotype,sex,age,T4,T7,T4target,T7target
170123_1,C57,F,older,60,60,0.02,0.02
170123_10,APOE3,F,older,60,60,0.015,0.025
170123_11,APOE3,F,older,60,60,0.0116666666666667,0.025
170123_2,C57,F,older,60,60,0.0766666666666667,0.03
170123_3,C57,F,older,60,60,0.0483333333333333,0
170123_4,APOE4,M,older,60,0,0,NaN
170123_5,APOE4,M,older,60,60,0.0516666666666667,0.0316666666666667
170123_6,APOE4,F,older,60,60,0.035,0.01
170123_7,APOE4,F,older,60,60,0.0383333333333333,0.05
170123_8,APOE4,F,older,60,60,0.0233333333333333,0
170123_9,APOE4,F,older,60,60,0.05,0.065
170206_1,APOE3,F,older,60,60,0.035,0.025
170206_11,C57,M,older,60,60,0.0483333333333333,0.0133333333333333
170206_12,C57,M,older,60,60,0.0233333333333333,0.025
170206_3,APOE3,M,older,60,60,0,0.0216666666666667
170206_4,APOE3,M,older,60,60,0.0116666666666667,0.0216666666666667
170206_5,APOE3,M,older,60,60,0.0316666666666667,0.055
170206_6,APOE3,M,older,60,60,0.02,0.0133333333333333
170206_8,APOE3,M,older,60,60,0.0433333333333333,0.0466666666666667
170227_1,C57,F,younger,60,60,0.0333333333333333,0.0216666666666667
170227_10,C57,M,younger,60,60,0.03,0
170227_2,C57,F,younger,60,60,0,0.04
170227_3,C57,F,younger,60,60,0.0233333333333333,0.02
170227_4,C57,F,younger,60,60,0.0183333333333333,0.0216666666666667
170227_5,C57,F,younger,60,60,0.035,0.02
170227_6,C57,M,younger,60,60,0.00666666666666667,0.0216666666666667
170227_7,C57,M,younger,60,60,0.0133333333333333,0.02
170227_8,C57,M,younger,60,60,0,0.0233333333333333
170227_9,C57,M,younger,60,60,0,0
170313_1,C57,F,older,60,60,0.0483333333333333,0.0816666666666667
170313_2,C57,F,older,60,60,0.0116666666666667,0.0116666666666667
170313_3,C57,M,older,60,60,0,0.0216666666666667
170313_4,C57,M,older,60,60,0.035,0.0616666666666667
170313_5,C57,M,older,60,60,0.02,0.0483333333333333
170313_7,C57,M,older,60,60,0.0133333333333333,0.045
170501_3,C57,M,older,60,60,0.025,0.025
170501_4,C57,F,older,60,60,0.0183333333333333,0
170501_7,C57,F,older,60,60,0,0.055
170501_8,C57,F,older,60,60,0,0.0116666666666667
