animal,genotype,sex,age,T1_1,T1_4,T2_1,T2_4,T3_1,T3_4,T4_1,T4_4,T5_1,T5_4
161107_1,APOE4,F,older,46.6,60,60,21.6,60,60,60,56.7,60,27
161107_2,APOE4,F,older,16.1,60,27.4,32.4,60,12.1,60,24,26.1,33.5
161107_3,APOE4,F,older,17.9,45.6,60,60,19.7,52.2,58.4,17.1,14.6,18.9
161107_4,APOE4,M,older,60,21.1,17.8,37,34.7,56.9,49.4,24.4,14.4,19
161107_5,APOE4,M,older,46.6,17.4,29.9,19,18.3,46.7,19.4,7.1,15.6,12.1
161107_6,APOE4,M,older,60,47.1,60,27.4,33.6,24.8,39.1,20,60,28.1
161107_7,APOE4,M,older,6.9,60,44.1,27.2,60,60,22.4,19.8,60,20.7
161107_8,APOE4,M,older,60,53.3,30.5,6.4,35.4,25.3,23.7,47.3,16.3,19.3
170123_1,C57,F,older,60,60,60,18.2,29.7,26.1,10.3,22.6,20.6,16.4
170123_10,APOE3,F,older,27.1,60,46.3,37.6,12.5,7.9,8.8,8.1,13.1,13.9
170123_11,APOE3,F,older,60,25.4,60,6.8,7.7,16.9,49.1,11.5,19.9,60
170123_12,APOE3,F,older,60,38.4,34.2,14.8,60,20.1,46.4,18,30,14.5
170123_2,C57,F,older,60,29.4,16.2,4.1,4.9,11,5.4,5.1,31.5,7.7
170123_3,C57,F,older,60,60,60,36.5,25.8,7.4,8.5,6.6,21.6,17.3
170123_4,APOE4,M,older,34.6,35.7,9.2,20.3,13.3,11.2,60,29.8,18.6,14.1
170123_5,APOE4,M,older,60,41.2,44,22.2,15.1,18.6,8.4,20.5,8.7,5.9
170123_6,APOE4,F,older,60,60,60,60,60,47.8,25.4,26.3,18.3,51.6
170123_7,APOE4,F,older,60,60,60,50.2,27,24.6,42.3,60,31.6,7.7
170123_8,APOE4,F,older,60,60,60,24.3,42.3,24.7,21.1,17.3,18.3,14.9
170123_9,APOE4,F,older,30.7,60,60,33.3,22.5,3.3,60,13.3,36.4,25
170206_1,APOE3,F,older,60,31.2,60,28.2,60,26.3,11.3,18,9.5,13.4
170206_10,C57,M,older,60,60,60,25.7,60,3.2,28.6,24.8,49.9,23.6
170206_11,C57,M,older,60,60,60,7.2,60,21.6,7.8,38.4,18.6,9.7
170206_12,C57,M,older,60,60,12.4,29.8,13.6,16.3,20.7,12.3,29.1,7.3
170206_2,APOE3,F,older,60,60,60,12.2,60,20.5,NaN,9.1,20.7,18
170206_3,APOE3,M,older,60,60,7.6,35.8,31.6,3.3,28.1,8.9,8.7,57.3
170206_4,APOE3,M,older,26,60,14.7,14.1,60,14,5.6,12.7,50.8,9.2
170206_5,APOE3,M,older,60,56.4,37.8,8.7,60,9.1,17.3,4.6,7.1,14.1
170206_6,APOE3,M,older,60,60,43.6,13.8,11,12.4,60,60,8.7,10.7
170206_7,APOE3,M,older,60,8.8,24.7,14.3,12.9,7.8,12.1,9.9,11.7,8.1
170206_8,APOE3,M,older,9.4,60,60,9,4.1,15.4,60,10.7,60,6.6
170206_9,C57,M,older,60,60,60,6.8,50.1,30.1,60,5.5,9.1,19.1
170227_1,C57,F,younger,60,60,60,8.9,3.2,8.9,60,8.3,8.2,4.2
170227_10,C57,M,younger,60,60,60,49.2,25.2,12.1,60,15.6,6.1,15.9
170227_2,C57,F,younger,60,12.5,21,4.5,17.4,17.4,6.8,28.5,25.6,3.3
170227_3,C57,F,younger,60,60,60,60,60,7.6,60,43.5,21.7,8.1
170227_4,C57,F,younger,60,23.3,47.4,32.3,60,24.5,31.2,13.5,9.8,3.2
170227_5,C57,F,younger,60,9.1,6.9,4.2,12.8,17.1,15.1,16.8,8.1,10.4
170227_6,C57,M,younger,60,23.2,6.6,60,17.8,40.3,43,60,60,16.6
170227_7,C57,M,younger,37,24.2,43.5,16.9,10.2,8.9,19.1,24.6,26,19.6
170227_8,C57,M,younger,60,14.2,8.1,8.9,60,60,60,12.8,31.1,13.8
170227_9,C57,M,younger,60,44.6,60,11.5,10.1,19.7,13.1,11.9,10.5,23.6
170313_1,C57,F,older,60,57.7,60,22.1,23,4.9,7.5,4.5,8,3.7
170313_2,C57,F,older,60,60,14.6,15.5,18.1,14.3,60,13.5,60,12.8
170313_3,C57,M,older,60,60,60,14.5,60,60,60,45.4,13.8,11.8
170313_4,C57,M,older,60,60,13.1,5.6,3.6,25.4,7.9,5.2,6.6,4.9
170313_5,C57,M,older,60,19.1,36.4,5.3,9.3,6.9,8.4,11.2,14.9,8.6
170313_6,C57,M,older,46.7,41.7,25.7,17.8,23.5,6,25.5,12.4,18.8,15.2
170313_7,C57,M,older,60,28.2,41,4.5,3.2,7.1,8.6,7.7,0,11.6
170501_3,C57,M,older,27.1,16.9,60,29.8,10.8,20.7,18.7,7,18.1,8.7
170501_4,C57,F,older,60,60,7.6,8.4,9.8,8.9,12.1,5.6,10.3,10.1
170501_5,C57,M,older,60,60,43.9,24.4,32.5,15,60,59,16.8,46.4
170501_6,C57,M,older,60,8.1,60,25.5,9.6,15.5,13,9.3,9.7,16.6
170501_7,C57,F,older,60,60,46.3,60,6.4,24.7,60,10.3,16.4,3.7
170501_8,C57,F,older,60,60,6.5,20.7,20.9,21.1,60,23,9.4,17.4
